poi_id,poi_category,lat,lon
147,dentist,40.6753314,-73.9994486
148,dentist,40.7459908,-73.8904927
149,dentist,40.6631168,-73.9913737
150,dentist,40.6846143,-73.9920469
151,dentist,40.6840537,-73.9949084
152,dentist,40.6864238,-73.9904131
153,dentist,40.7445787,-73.9799908
154,dentist,40.7445973,-73.9799777
155,dentist,40.7446159,-73.9799645
156,dentist,40.7446344,-73.9799514
157,dentist,40.6885929,-73.9930914
158,dentist,40.8385277,-73.9014368
159,dentist,40.8547206,-73.8900536
160,dentist,40.7599976,-73.917929
161,dentist,40.6732629,-73.9727459
162,bar,40.7338007,-74.0021484
163,bar,40.7120257,-73.951117
164,bar,40.7194991,-73.9557619
165,bar,40.7189211,-73.9452678
166,bar,40.7150889,-74.0103445
167,bar,40.6825193,-73.9614701
168,bar,40.6762072,-73.9835922
169,bar,40.7209114,-73.9569205
170,bar,40.7545379,-73.9770283
171,bar,40.7649759,-73.9880847
172,bar,40.6774342,-73.9638702
173,bar,40.6830972,-73.935249
174,bar,40.681699,-73.9346752
175,bar,40.7555936,-73.982172
176,bar,40.7531379,-73.9967415
177,bar,40.7701833,-73.912192
178,bar,40.7906714,-73.9475745
179,bar,40.6789538,-73.7605402
180,bar,40.6995312,-73.9921773
181,bar,40.7446199,-74.0030314
182,bar,40.7616428,-73.9866561
183,bar,40.6725818,-73.9832797
184,bar,40.6397709,-73.9672216
185,bar,40.7070572,-73.9543715
186,bar,40.729763,-73.9574255
187,bar,40.7614413,-73.9094062
188,bar,40.7458336,-73.8901305
189,bar,40.748071,-73.9860508
190,bar,40.9065092,-73.9039566
191,bar,40.7719194,-73.9818733
192,bar,40.7844481,-73.9776492
193,bar,40.7259033,-74.0094874
194,bar,40.7371272,-73.9846044
195,bar,40.7210779,-73.9842186
196,bar,40.7112802,-73.9609591
197,bar,40.7105361,-73.9583554
198,bar,40.7402557,-74.0055355
199,bar,40.7224339,-73.9899014
200,bar,40.714362,-73.9981472
201,bar,40.7618244,-73.9109732
202,bar,40.7634117,-73.9134101
203,bar,40.8032214,-73.9639173
204,bar,40.7524774,-73.984652
205,bar,40.7110056,-73.9453695
206,bar,40.7300079,-73.9577527
207,bar,40.7078526,-73.8311564
208,bar,40.7300934,-73.9564221
209,bar,40.7205705,-73.9549076
210,bar,40.7368488,-73.9552028
211,bar,40.7590985,-73.9195734
212,bar,40.7584418,-73.8923597
213,bar,40.7807398,-73.9810582
214,bar,40.7210499,-73.9407121
215,bar,40.7304989,-73.9901675
216,bar,40.7230307,-74.0029728
217,bar,40.7420614,-74.0011144
218,bar,40.8003071,-73.9683595
219,bar,40.7470196,-73.9528397
220,bar,40.7219806,-73.957629
221,bar,40.7499096,-73.99538
222,bar,40.7250437,-73.981466
223,bar,40.7422344,-73.9986032
224,bar,40.7150021,-73.9516171
225,bar,40.7158872,-73.9621335
226,bar,40.7163751,-73.9615756
227,bar,40.7383522,-73.9929398
228,bar,40.7386753,-73.9937002
229,bar,40.7299726,-73.9809089
230,bar,40.7291488,-73.9784016
231,bar,40.6773847,-73.9984641
232,bar,40.6790935,-73.9835432
233,bar,40.6422503,-74.0767143
234,bar,40.7153863,-73.990065
235,bar,40.6784083,-73.9640612
236,bar,40.7344923,-74.0029504
237,bar,40.6858219,-73.9884647
238,bar,40.7788159,-73.9141316
239,bar,40.7940846,-73.9728865
240,bar,40.7318319,-73.9855738
241,bar,40.719827,-73.9994807
242,bar,40.6878726,-73.9956517
243,bar,40.725928,-73.9834617
244,bar,40.7272107,-73.9828647
245,bar,40.7445195,-73.9904827
246,bar,40.7451365,-73.9900429
247,bar,40.6808556,-73.9915451
248,bar,40.6802177,-73.9749062
249,bar,40.6750671,-73.9992481
250,bar,40.681954,-73.9497304
251,bar,40.7288472,-74.0002307
252,bar,40.7283337,-73.9992168
253,bar,40.6678137,-73.9872239
254,bar,40.7128229,-73.7824421
255,bar,40.7114811,-73.7902494
256,bar,40.7228611,-73.9890352
257,bar,40.7235863,-73.9848796
258,bar,40.6440962,-73.9760184
259,bar,40.7345357,-74.00163
260,bar,40.7298428,-74.0036369
261,bar,40.6859567,-73.9081323
262,bar,40.7201805,-74.009907
263,bar,40.7213285,-73.9883827
264,bar,40.6937226,-73.9298373
265,bar,40.6893416,-73.9692621
266,bar,40.6977826,-73.9270746
267,bar,40.6977941,-73.9269769
268,bar,40.7067527,-73.9234432
269,bar,40.7001545,-73.9160836
270,bar,40.7409011,-74.005668
271,bar,40.6804568,-73.9744631
272,bar,40.6772682,-74.0154217
273,bar,40.7139211,-73.9895471
274,bar,40.7612883,-73.9871051
275,bar,40.7445346,-73.9905226
276,bar,40.7445509,-73.9905594
277,bar,40.6779839,-73.9821744
278,bar,40.7420062,-73.9896338
279,bar,40.7444239,-73.9919308
280,bar,40.7247017,-73.9960259
281,bar,40.7214727,-73.9846821
282,bar,40.7226253,-73.9862488
283,bar,40.7671482,-73.9834436
284,bar,40.6789833,-73.9735181
285,bar,40.7567953,-73.9935819
286,bar,40.7424693,-74.0065847
287,bar,40.7358748,-73.98712
288,bar,40.735148,-73.9826459
289,bar,40.7389381,-73.9828427
290,bar,40.7407065,-73.9820094
291,bar,40.7281675,-74.0018894
292,bar,40.6749104,-73.9565954
293,bar,40.6734404,-73.9568196
294,bar,40.7635051,-73.9809828
295,bar,40.7356948,-73.9347062
296,bar,40.7483522,-73.9868499
297,bar,40.7627758,-73.9933967
298,bar,40.7644572,-73.985746
299,bar,40.7597407,-73.9861863
300,bar,40.7634867,-73.9847984
301,bar,40.6990679,-73.9923484
302,bar,40.7774689,-73.9784926
303,bar,40.7104521,-73.9634095
304,bar,40.7099118,-73.96273
305,bar,40.7169763,-73.9546566
306,bar,40.8985197,-73.8671642
307,bar,40.9004539,-73.8675262
308,bar,40.7179089,-73.9853411
309,bar,40.7215282,-73.9846602
310,bar,40.7597779,-73.7694825
311,bar,40.7197084,-73.9580192
312,bar,40.7191837,-73.9615737
313,bar,40.7165204,-73.9528665
314,bar,40.7170838,-73.949984
315,bar,40.7055448,-73.8016911
316,bar,40.7277962,-73.950185
317,bar,40.7196459,-73.9559407
318,bar,40.7232306,-73.9527481
319,bar,40.7217038,-73.9582538
320,bar,40.7302402,-73.9578047
321,bar,40.7331765,-73.9596929
322,bar,40.7464253,-73.9178829
323,bar,40.7601261,-73.9072703
324,bar,40.7565734,-73.9254957
325,bar,40.7586167,-73.9179393
326,bar,40.7616422,-73.9243893
327,bar,40.7631765,-73.9284636
328,bar,40.7291974,-73.9916255
329,bar,40.7551533,-73.9252472
330,bar,40.729464,-73.9786846
331,bar,40.6778551,-73.9499714
332,bar,40.7412916,-74.0080457
333,bar,40.7307334,-74.0009872
334,bar,40.7658038,-73.914694
335,bar,40.7194705,-73.9866762
336,bar,40.7142423,-73.9616066
337,bar,40.7082233,-73.9432081
338,bar,40.7515392,-73.970732
339,bar,40.7138645,-73.9618377
340,bar,40.6770508,-73.9721226
341,bar,40.6870703,-73.9747397
342,bar,40.7081846,-73.9400945
343,bar,40.7318556,-74.0032442
344,bar,40.7471977,-73.9549525
345,bar,40.7182973,-73.990525
346,bar,40.7493007,-73.9941316
347,bar,40.759564,-73.9897134
348,bar,40.7771024,-73.9785029
349,bar,40.761134,-73.9606216
350,bar,40.7331707,-73.9936418
351,bar,40.7543853,-73.9921719
352,bar,40.7590063,-73.9896838
353,bar,40.7552627,-73.9272533
354,bar,40.7603284,-73.9215565
355,bar,40.7319786,-73.9855067
356,bar,40.6715078,-73.9502019
357,bar,40.7551854,-73.977325
358,bar,40.7412384,-73.9932261
359,bar,40.7493147,-73.9765665
360,bar,40.7320585,-73.9838365
361,bar,40.7318045,-73.9840953
362,bar,40.7327386,-73.9862964
363,bar,40.6685321,-73.9932879
364,bar,40.6749501,-73.9812915
365,bar,40.6787063,-73.9868535
366,bar,40.767821,-73.9836723
367,bar,40.6847892,-73.9445342
368,bar,40.6848033,-73.9443877
369,bar,40.6847942,-73.9444717
370,bar,40.6833882,-73.9346076
371,bar,40.6914678,-73.9516311
372,bar,40.6825599,-73.9292069
373,bar,40.6829954,-73.9406121
374,bar,40.6867794,-73.9547636
375,bar,40.6838165,-73.9563662
376,bar,40.6813285,-73.9573676
377,bar,40.7605169,-73.922588
378,bar,40.7243345,-73.9880064
379,bar,40.7541085,-73.9904182
380,bar,40.719615,-73.994898
381,bar,40.7297764,-73.9891982
382,bar,40.7296362,-73.9896182
383,bar,40.743968,-73.988792
384,bar,40.761392,-73.924468
385,bar,40.78094,-73.917284
386,bar,40.780672,-73.916871
387,bar,40.728362,-73.999283
388,bar,40.72975,-74.000583
389,bar,40.7284605,-73.9994965
390,bar,40.728375,-73.999318
391,bar,40.754423,-73.935709
392,bar,40.87915,-73.904435
393,bar,40.7398538,-73.9929261
394,bar,40.7380383,-74.0037627
395,bar,40.7265415,-73.9480403
396,bar,40.7439992,-73.9891294
397,bar,40.7440073,-73.9892346
398,bar,40.7130756,-73.9572969
399,bar,40.765979,-73.9873999
400,bar,40.6815928,-73.9558976
401,bar,40.7178067,-73.9591663
402,bar,40.7443263,-73.9944542
403,bar,40.7594246,-73.9931931
404,bar,40.7334558,-73.9549395
405,bar,40.7264797,-73.9898962
406,bar,40.7188823,-73.9913742
407,bar,40.719067,-73.9976412
408,bar,40.7218093,-73.9979174
409,bar,40.7194207,-73.985079
410,bar,40.7187356,-73.9869338
411,bar,40.7199096,-73.9871913
412,bar,40.7288058,-73.9840182
413,bar,40.7271198,-73.9837446
414,bar,40.7271747,-73.9801478
415,bar,40.7259358,-73.9846566
416,bar,40.7334339,-74.0060767
417,bar,40.697387,-73.970497
418,bar,40.7295949,-73.9996291
419,bar,40.7239632,-73.9937615
420,bar,40.7233979,-73.9880093
421,bar,40.6980883,-73.9266189
422,bar,40.7088559,-73.9578638
423,bar,40.7177059,-73.9580947
424,bar,40.7139337,-73.9657819
425,bar,40.7199472,-74.007213
426,bar,40.7186939,-73.9606663
427,bar,40.6824119,-73.9935237
428,bar,40.6804862,-73.994539
429,bar,40.7301084,-74.0005257
430,bar,40.7439412,-73.988134
431,bar,40.7299594,-74.0003929
432,bar,40.7303749,-73.9946392
433,bar,40.7199318,-73.9882457
434,bar,40.7604577,-73.9773197
435,bar,40.7583844,-73.9832932
436,bar,40.663259,-73.9848144
437,bar,40.5805716,-73.8260314
438,bar,40.7644911,-73.9916556
439,bar,40.7203391,-73.993321
440,bar,40.7196464,-73.9873021
441,bar,40.721442,-74.0018858
442,bar,40.7271137,-73.988177
443,bar,40.7327089,-73.9978138
444,bar,40.7323495,-74.003841
445,bar,40.7331992,-74.0034508
446,bar,40.7132509,-73.9585549
447,bar,40.7642842,-73.9870975
448,bar,40.7429238,-74.0075471
449,bar,40.7258737,-73.9889342
450,bar,40.727163,-73.9890131
451,bar,40.7129071,-73.9663175
452,bar,40.7394936,-74.0024537
453,bar,40.67308,-73.9569495
454,bar,40.6459029,-73.7738559
455,bar,40.7517058,-74.0042924
456,bar,40.7223271,-73.9567564
457,bar,40.6914766,-73.9845457
458,bar,40.7224641,-73.9885527
459,bar,40.7563569,-73.9749477
460,bar,40.7392821,-73.9872624
461,bar,40.7423074,-73.9832234
462,bar,40.7507722,-74.0040792
463,bar,40.74155,-73.9809337
464,bar,40.7179671,-73.9852989
465,bar,40.730082,-74.0007434
466,bar,40.7643224,-73.9873646
467,bar,40.539557,-74.2416138
468,bar,40.7218111,-73.9882321
469,bar,40.7428233,-73.9921754
470,bar,40.6774833,-73.9984179
471,bar,40.6372257,-74.0756332
472,bar,40.7200282,-73.987818
473,bar,40.7257681,-73.9843732
474,bar,40.7327624,-73.9877731
475,bar,40.7393278,-74.0018755
476,bar,40.7391854,-74.0015489
477,bar,40.7394159,-74.0013111
478,bar,40.7401651,-74.0015899
479,bar,40.5927967,-73.9254105
480,bar,40.5927283,-73.9253478
481,bar,40.5943535,-73.9299925
482,bar,40.720864,-73.987312
483,bar,40.7447503,-73.993589
484,bar,40.7375383,-73.9892094
485,bar,40.7615967,-73.9938286
486,bar,40.8689356,-73.9321571
487,bar,40.6392672,-73.9684115
488,bar,40.6602376,-73.980295
489,bar,40.7276003,-73.9838498
490,bar,40.7080962,-74.0146254
491,bar,40.7211733,-73.984116
492,bar,40.72019,-73.984615
493,bar,40.7200177,-73.9878219
494,bar,40.677245,-73.9571861
495,bar,40.6719172,-73.9577058
496,bar,40.6831793,-73.9536901
497,bar,40.7119185,-73.9423984
498,bar,40.7298666,-73.9562541
499,bar,40.722877,-73.954146
500,bar,40.6571779,-74.0073436
501,bar,40.7272836,-73.9867192
502,bar,40.5749582,-73.9839665
503,bar,40.7225613,-73.9798372
504,bar,40.7742561,-73.962989
505,bar,40.7125929,-73.9558255
506,bar,40.7237758,-73.9511892
507,bar,40.7337752,-74.0022582
508,bar,40.7422803,-74.0056577
509,bar,40.7546795,-73.9162417
510,bar,40.7084243,-73.9377081
511,bar,40.7060306,-73.9236202
512,bar,40.7278699,-73.9421681
513,bar,40.7189463,-73.9563743
514,bar,40.7646909,-73.9915481
515,bar,40.7253891,-73.9572625
516,bar,40.7032493,-74.0110052
517,bar,40.7314762,-73.9918766
518,bar,40.7249571,-73.9926472
519,bar,40.7082263,-74.0049942
520,bar,40.7073416,-74.0027202
521,bar,40.7076703,-74.0020534
522,bar,40.723084,-73.9897897
523,bar,40.7609419,-73.9911577
524,bar,40.841904,-73.9015282
525,bar,40.8721114,-73.855814
526,bar,40.7502806,-73.9904398
527,bar,40.7475612,-73.9869147
528,bar,40.7472064,-73.986396
529,bar,40.6756867,-74.0168907
530,bar,40.584629,-73.8107193
531,bar,40.7267701,-73.9574448
532,bar,40.7264906,-73.9841305
533,bar,40.6721665,-73.9575891
534,bar,40.6911364,-73.9842463
535,bar,40.6846079,-73.9091115
536,bar,40.7662236,-73.9129178
537,bar,40.683091,-73.9656353
538,bar,40.7771355,-73.9518364
539,bar,40.7609958,-73.9630751
540,bar,40.7294659,-73.9873092
541,bar,40.659902,-73.9610112
542,bar,40.685806,-73.9909431
543,bar,40.7199998,-73.9938278
544,bar,40.7512804,-73.9731904
545,bar,40.7149555,-74.0153365
546,bar,40.7584179,-73.9192706
547,bar,40.7075864,-74.0134624
548,bar,40.7305538,-74.0042275
549,bar,40.7454239,-73.9533567
550,bar,40.748908,-73.9408313
551,bar,40.7623579,-73.9739804
552,bar,40.8139532,-73.9467615
553,bar,40.6937359,-73.9027629
554,bar,40.7617087,-73.9941785
555,bar,40.6505216,-74.0144263
556,bar,40.7647602,-73.9171848
557,bar,40.7327347,-74.0035227
558,bar,40.7314664,-73.9580086
559,bar,40.7446559,-73.9034843
560,bar,40.7455804,-73.9057381
561,bar,40.7248708,-73.9512969
562,bar,40.7257346,-73.9516885
563,bar,40.7384967,-74.0035172
564,bar,40.7468774,-73.9970849
565,bar,40.7538643,-73.9919513
566,bar,40.7243304,-73.9508047
567,bar,40.7198823,-73.9578411
568,bar,40.7424501,-73.9531833
569,bar,40.7260468,-73.8772602
570,bar,40.6917243,-73.986155
571,bar,40.7696717,-73.9096777
572,bar,40.6975677,-73.9315309
573,bar,40.7659235,-73.9131374
574,bar,40.7641845,-73.9145628
575,bar,40.7655055,-73.918796
576,bar,40.7639277,-73.9154228
577,bar,40.7458706,-73.9034348
578,bar,40.7885816,-73.8143786
579,bar,40.7787822,-73.9645659
580,bar,40.7690368,-73.9128077
581,bar,40.7674767,-73.9229465
582,bar,40.7646797,-73.9163496
583,bar,40.742625,-73.9543316
584,bar,40.8472515,-73.8322691
585,bar,40.6973367,-73.9347194
586,bar,40.8007754,-73.9136251
587,bar,40.8006367,-73.9134024
588,bar,40.8281638,-73.8808465
589,bar,40.8483835,-73.855194
590,bar,40.7108198,-74.0069468
591,bar,40.760714,-73.9879098
592,bar,40.6713308,-73.9843022
593,bar,40.6768648,-73.980329
594,bar,40.6778233,-73.9726846
595,bar,40.7200298,-73.9555273
596,bar,40.7236831,-73.9789326
597,bar,40.7178261,-73.9898544
598,bar,40.7265987,-73.999651
599,bar,40.7578548,-73.9163597
600,bar,40.7577043,-73.9160327
601,bar,40.6433951,-73.9489646
602,bar,40.7512626,-73.9848169
603,bar,40.6799138,-73.9429674
604,bar,40.7243283,-73.9788668
605,bar,40.7249188,-73.9828997
606,bar,40.7198547,-73.9989835
607,bar,40.7417874,-73.9925761
608,bar,40.7375784,-73.9911901
609,bar,40.6422153,-73.7918412
610,bar,40.723306,-73.9882057
611,bar,40.6813078,-74.0043276
612,bar,40.7460868,-73.9569862
613,bar,40.6762013,-73.9494666
614,bar,40.6761869,-73.9494612
615,bar,40.7339589,-74.0000309
616,bar,40.7444269,-73.9108778
617,bar,40.7375919,-73.8774133
618,bar,40.6779074,-73.9858925
619,bar,40.752605,-73.9778482
620,bar,40.713588,-74.0081258
621,bar,40.6769023,-73.9840898
622,bar,40.704576,-73.9109461
623,bar,40.7060602,-73.9128809
624,bar,40.7010715,-73.9080839
625,bar,40.7578934,-73.8633966
626,bar,40.6898155,-73.8637009
627,bar,40.7111825,-73.9474426
628,bar,40.7081836,-73.9196099
629,bar,40.7056188,-73.8942873
630,bar,40.7578471,-73.920114
631,bar,40.7034775,-73.8953145
632,bar,40.7034206,-73.895285
633,bar,40.6928669,-73.9016974
634,bar,40.7003282,-73.9022051
635,bar,40.7055595,-73.9070695
636,bar,40.7091645,-73.9069695
637,bar,40.6961093,-73.9046609
638,bar,40.701667,-73.8988009
639,bar,40.7009726,-73.9139612
640,bar,40.7054382,-73.9099626
641,bar,40.701142,-73.9143303
642,bar,40.7108154,-73.9642105
643,bar,40.7000255,-73.9294743
644,bar,40.7413895,-73.9929254
645,bar,40.7664971,-73.9130633
646,bar,40.7477356,-73.9863789
647,bar,40.7296787,-73.9863187
648,bar,40.7561646,-73.9214813
649,bar,40.7669543,-73.9123038
650,bar,40.6832391,-73.9319449
651,bar,40.8498121,-73.9363744
652,bar,40.7025528,-73.9129715
653,bar,40.6969448,-73.9068121
654,bar,40.8549293,-73.9371424
655,bar,40.6988182,-73.9091187
656,bar,40.7641324,-73.9868698
657,bar,40.7652832,-73.9878804
658,bar,40.7643912,-73.9888626
659,bar,40.7644118,-73.9869025
660,bar,40.7634976,-73.9886964
661,bar,40.7284734,-73.9834055
662,bar,40.7626874,-73.9892881
663,bar,40.7557341,-73.9650357
664,bar,40.7140158,-73.9008032
665,bar,40.7155276,-73.9016732
666,bar,40.6996659,-73.9157869
667,bar,40.7608904,-73.9902567
668,bar,40.7128623,-73.955265
669,bar,40.7139477,-73.9528263
670,bar,40.7291905,-73.9894983
671,bar,40.7259905,-73.9892055
672,bar,40.7611195,-73.830308
673,bar,40.7217163,-73.9931901
674,bar,40.7142437,-73.9558401
675,bar,40.7723689,-73.9552086
676,bar,40.774704,-73.9136014
677,bar,40.6287732,-74.0797636
678,bar,40.7555309,-73.8842583
679,bar,40.7040365,-73.9307943
680,bar,40.756656,-73.9137245
681,bar,40.7148418,-73.9415999
682,bar,40.7215662,-73.9404575
683,bar,40.7073161,-73.939573
684,bar,40.7272671,-74.0000807
685,bar,40.7288048,-74.0001586
686,bar,40.7239715,-74.003139
687,bar,40.7103321,-74.0164647
688,bar,40.7585582,-73.9195219
689,bar,40.6677975,-73.9838577
690,bar,40.7033316,-73.908163
691,bar,40.6851628,-73.9798275
692,bar,40.7041125,-73.9096158
693,bar,40.6997967,-73.9103554
694,bar,40.682654,-73.9933595
695,bar,40.6845677,-73.9920784
696,bar,40.7814029,-73.9485796
697,bar,40.7050054,-73.9230385
698,bar,40.7198897,-73.9872865
699,bar,40.781866,-73.9766124
700,bar,40.7290557,-73.9781027
701,bar,40.7297644,-73.9805533
702,bar,40.7294825,-73.9807969
703,bar,40.7289041,-73.978241
704,bar,40.7087521,-73.9125042
705,bar,40.6813812,-73.993947
706,bar,40.6815124,-73.9774074
707,bar,40.6773571,-73.986265
708,bar,40.6807515,-73.9776897
709,bar,40.6988956,-73.9144565
710,bar,40.7276384,-73.9857646
711,bar,40.7867056,-73.9505143
712,bar,40.7148184,-73.9416726
713,bar,40.7029978,-73.9868233
714,bar,40.7032723,-73.9868019
715,bar,40.7198176,-74.0055821
716,bar,40.7197629,-74.005662
717,bar,40.7115159,-73.9468093
718,bar,40.7115701,-73.9463992
719,bar,40.71161,-73.9460488
720,bar,40.7070838,-73.9324951
721,bar,40.7773359,-73.9509133
722,bar,40.7108861,-73.9646654
723,bar,40.74079,-74.0078393
724,bar,40.7288636,-73.9813167
725,bar,40.7258549,-73.9838703
726,bar,40.7258995,-73.9834824
727,bar,40.7269086,-73.9834027
728,bar,40.7407461,-73.9931415
729,bar,40.7053768,-73.8093475
730,bar,40.6826189,-73.9612814
731,bar,40.7481126,-73.9911219
732,bar,40.779288,-73.9546515
733,bar,40.7791444,-73.9627323
734,bar,40.7346858,-73.9886233
735,bar,40.7058302,-73.9237933
736,bar,40.7055799,-73.922469
737,bar,40.7070059,-73.9226871
738,bar,40.7074395,-73.9217853
739,bar,40.7071565,-73.9212797
740,bar,40.680315,-73.9749769
741,bar,40.6802658,-73.9749494
742,bar,40.7051123,-73.9202649
743,bar,40.6710904,-73.9845075
744,bar,40.6972744,-73.9361225
745,bar,40.723034,-73.9920355
746,bar,40.6719324,-73.9869928
747,bar,40.7203353,-73.9054555
748,bar,40.7418597,-73.8807821
749,bar,40.7810045,-73.9490049
750,bar,40.6700343,-73.978766
751,bar,40.6811835,-73.9756165
752,bar,40.7789493,-73.9507243
753,bar,40.7461279,-73.8897965
754,bar,40.702567,-73.9011814
755,bar,40.7723382,-73.9272822
756,bar,40.8693733,-73.9171298
757,bar,40.86614,-73.9196001
758,bar,40.7732821,-73.9271738
759,bar,40.8661215,-73.9276945
