user_id,pickup_datetime,pickup_latitude,pickup_longitude,nearest_poi
96,2013-06-08 17:54:00,40.756955,-73.978232,6334
97,2013-06-08 10:49:00,40.740392,-73.994567,5821
98,2013-06-08 14:52:00,40.751692,-74.000908,6191
99,2013-06-08 15:28:00,40.720322,-74.008532,4108
100,2013-06-08 16:14:00,40.768442,-73.985477,2949
101,2013-06-08 17:14:00,40.735997,-73.993638,4700
102,2013-06-08 10:31:00,40.74516,-73.987028,3960
103,2013-06-08 03:26:00,40.661542,-73.98098,6242
104,2013-06-08 14:25:00,40.734732,-73.986402,3926
105,2013-06-08 06:45:00,40.804555,-73.955328,6257
106,2013-06-08 14:20:00,40.748552,-73.974995,6107
107,2013-06-08 06:18:00,40.75234,-73.975527,6254
108,2013-06-08 12:48:00,40.744832,-73.978625,16
109,2013-06-08 15:29:00,40.779602,-73.953433,5606
110,2013-06-08 13:20:00,40.720917,-73.9951,2615
111,2013-06-08 02:05:00,40.731417,-73.988963,2592
112,2013-06-08 09:58:00,40.7184,-73.988287,5663
113,2013-06-08 02:36:00,40.725882,-73.991932,941
114,2013-06-08 12:41:00,40.754935,-73.99519,5573
115,2013-06-08 11:34:00,40.749502,-73.995102,6278
116,2013-06-08 12:59:00,40.709887,-74.007332,3466
117,2013-06-08 08:49:00,40.734187,-73.986522,3926
118,2013-06-08 14:00:00,40.72463,-73.9992,3405
119,2013-06-08 16:03:00,40.75238,-73.978045,619
120,2013-06-08 08:39:00,40.777215,-73.982477,3012
121,2013-06-08 17:56:00,40.735897,-73.979207,2307
122,2013-06-08 13:51:00,40.749817,-73.991907,5951
123,2013-06-08 16:00:00,40.764732,-73.966197,3806
124,2013-06-08 15:40:00,40.723025,-73.98905,256
125,2013-06-08 12:53:00,40.736572,-74.005697,5267
126,2013-06-08 03:16:00,40.748022,-73.980852,3795
127,2013-06-08 09:42:00,40.792497,-73.968028,2236
128,2013-06-08 15:06:00,40.763995,-73.973995,2948
129,2013-06-08 08:29:00,40.768772,-73.862782,6340
130,2013-06-08 12:49:00,40.78066,-73.981165,213
131,2013-06-08 13:23:00,40.74826,-74.003832,3973
132,2013-06-08 11:55:00,40.731157,-73.999445,2638
133,2013-06-08 12:54:00,40.787852,-73.97487,2512
134,2013-06-08 12:23:00,40.760885,-73.99565,3574
135,2013-06-08 17:52:00,40.734112,-73.999712,2639
136,2013-06-08 12:51:00,40.745645,-73.991012,2627
137,2013-06-08 14:59:00,40.74989,-73.991455,5951
138,2013-06-08 10:16:00,40.730115,-73.979533,701
139,2013-06-08 10:51:00,40.76999,-73.863452,6340
140,2013-06-08 15:44:00,40.74846,-73.976958,2152
141,2013-06-08 12:05:00,40.744745,-73.99685,3968
142,2013-06-08 08:35:00,40.75114,-73.969567,3570
143,2013-06-08 16:27:00,40.716215,-74.01342,545
144,2013-06-08 11:17:00,40.751452,-73.971022,3053
145,2013-06-08 09:36:00,40.74352,-73.919852,5382
146,2013-06-08 15:17:00,40.754967,-73.98405,6360
147,2013-06-08 12:01:00,40.760142,-73.985847,6210
148,2013-06-08 13:00:00,40.750502,-73.97469,4017
149,2013-06-08 14:08:00,40.826472,-73.950515,4684
150,2013-06-08 12:08:00,40.751712,-73.975565,4035
151,2013-06-08 05:04:00,40.773327,-73.955055,2147
152,2013-06-08 14:58:00,40.738307,-73.980582,5827
153,2013-06-08 11:39:00,40.756102,-73.990043,2969
154,2013-06-08 16:08:00,40.778717,-73.95356,5815
155,2013-06-08 14:19:00,40.709875,-74.014622,2924
156,2013-06-08 13:52:00,40.677022,-74.000717,6212
157,2013-06-08 13:47:00,40.75704,-73.993692,3650
158,2013-06-08 12:23:00,40.795432,-73.973482,3993
159,2013-06-08 09:20:00,40.70814,-74.008325,802
160,2013-06-08 16:11:00,40.754552,-73.987987,787
161,2013-06-08 16:54:00,40.788285,-73.96726,2330
162,2013-06-08 12:02:00,40.756602,-73.969632,6376
163,2013-06-08 10:01:00,40.757255,-73.969775,6158
164,2013-06-08 17:03:00,40.767132,-73.986152,2322
165,2013-06-08 10:57:00,40.751275,-73.993947,6229
166,2013-06-08 06:43:00,40.694732,-73.992402,5522
167,2013-06-08 09:37:00,40.767952,-73.98536,2889
168,2013-06-08 13:26:00,40.716787,-73.985712,5636
169,2013-06-08 02:29:00,40.720257,-74.005072,6292
170,2013-06-08 03:09:00,40.727735,-73.99128,3950
171,2013-06-08 16:49:00,40.740325,-73.98218,2905
172,2013-06-08 15:12:00,40.707832,-74.013492,4301
173,2013-06-08 16:42:00,40.709017,-73.991655,6015
174,2013-06-08 16:56:00,40.762452,-73.986642,3244
175,2013-06-08 14:25:00,40.780815,-73.958967,6074
176,2013-06-08 13:22:00,40.715235,-74.009378,2862
177,2013-06-08 09:54:00,40.735087,-73.991345,3914
178,2013-06-08 14:46:00,40.743922,-73.995372,3975
179,2013-06-08 03:02:00,40.720795,-73.987032,482
180,2013-06-08 02:31:00,40.726847,-74.007372,5262
181,2013-06-08 13:56:00,40.806877,-73.961065,5308
182,2013-06-08 14:37:00,40.782187,-73.948405,4852
183,2013-06-08 02:26:00,40.750682,-73.97484,4017
184,2013-06-08 12:33:00,40.764412,-73.956205,4912
185,2013-06-08 17:37:00,40.754567,-73.988275,787
186,2013-06-08 16:06:00,40.729467,-73.9782,4276
187,2013-06-08 12:22:00,40.764537,-73.970347,4335
188,2013-06-08 13:33:00,40.743165,-73.993087,469
189,2013-06-08 17:51:00,40.747057,-73.989797,943
190,2013-06-08 11:35:00,40.71144,-74.015467,4285
191,2013-06-08 12:59:00,40.702037,-74.012912,2137
192,2013-06-08 12:07:00,40.740442,-74.007727,5742
193,2013-06-08 11:33:00,40.749287,-73.998997,949
194,2013-06-08 14:25:00,40.729572,-73.981042,702
195,2013-06-08 10:01:00,40.768812,-73.86304,6340
